Name,Key
JSW STEEL LIMITED,NSE_EQ|INE019A01038
JUBILANT FOODWORKS LTD,NSE_EQ|INE797F01020
KALYAN JEWELLERS IND LTD,NSE_EQ|INE303R01014
KAYNES TECHNOLOGY IND LTD,NSE_EQ|INE918Z01012
KEI INDUSTRIES LTD.,NSE_EQ|INE878B01027
KFIN TECHNOLOGIES LIMITED,NSE_EQ|INE138Y01010
KOTAK MAHINDRA BANK LTD,NSE_EQ|INE237A01028
KPIT TECHNOLOGIES LIMITED,NSE_EQ|INE04I401011
L&T FINANCE LIMITED,NSE_EQ|INE498L01015
LARSEN & TOUBRO LTD.,NSE_EQ|INE018A01030
LAURUS LABS LIMITED,NSE_EQ|INE947Q01028
LIC HOUSING FINANCE LTD,NSE_EQ|INE115A01026
LIFE INSURA CORP OF INDIA,NSE_EQ|INE0J1Y01017
LODHA DEVELOPERS LIMITED,NSE_EQ|INE670K01029
LTIMINDTREE LIMITED,NSE_EQ|INE214T01019
LUPIN LIMITED,NSE_EQ|INE326A01037
MAHINDRA & MAHINDRA LTD,NSE_EQ|INE101A01026
MANAPPURAM FINANCE LTD,NSE_EQ|INE522D01027
MANKIND PHARMA LIMITED,NSE_EQ|INE634S01028
MARICO LIMITED,NSE_EQ|INE196A01026
MARUTI SUZUKI INDIA LTD.,NSE_EQ|INE585B01010
MAX FINANCIAL SERV LTD,NSE_EQ|INE180A01020
MAX HEALTHCARE INS LTD,NSE_EQ|INE027H01010
MAZAGON DOCK SHIPBUIL LTD,NSE_EQ|INE249Z01020
MPHASIS LIMITED,NSE_EQ|INE356A01018
MULTI COMMODITY EXCHANGE,NSE_EQ|INE745G01035
MUTHOOT FINANCE LIMITED,NSE_EQ|INE414G01012
NATIONAL ALUMINIUM CO LTD,NSE_EQ|INE139A01034
NBCC (INDIA) LIMITED,NSE_EQ|INE095N01031
NCC LIMITED,NSE_EQ|INE868B01028
NESTLE INDIA LIMITED,NSE_EQ|INE239A01024
NHPC LTD,NSE_EQ|INE848E01016
NMDC LTD.,NSE_EQ|INE584A01023
NTPC LTD,NSE_EQ|INE733E01010
NUVAMA WEALTH MANAGE LTD,NSE_EQ|INE531F01015
OBEROI REALTY LIMITED,NSE_EQ|INE093I01010
OIL AND NATURAL GAS CORP.,NSE_EQ|INE213A01029
OIL INDIA LTD,NSE_EQ|INE274J01014
ONE 97 COMMUNICATIONS LTD,NSE_EQ|INE982J01020
ORACLE FIN SERV SOFT LTD.,NSE_EQ|INE881D01027
PAGE INDUSTRIES LTD,NSE_EQ|INE761H01022
PATANJALI FOODS LIMITED,NSE_EQ|INE619A01035
PB FINTECH LIMITED,NSE_EQ|INE417T01026
PERSISTENT SYSTEMS LTD,NSE_EQ|INE262H01021
PETRONET LNG LIMITED,NSE_EQ|INE347G01014
PG ELECTROPLAST LTD,NSE_EQ|INE457L01029
PI INDUSTRIES LTD,NSE_EQ|INE603J01030
PIDILITE INDUSTRIES LTD,NSE_EQ|INE318A01026
PIRAMAL PHARMA LIMITED,NSE_EQ|INE0DK501011
PNB HOUSING FIN LTD.,NSE_EQ|INE572E01012
POLYCAB INDIA LIMITED,NSE_EQ|INE455K01017
POWER FIN CORP LTD.,NSE_EQ|INE134E01011
POWER GRID CORP. LTD.,NSE_EQ|INE752E01010
PRESTIGE ESTATE LTD,NSE_EQ|INE811K01011
PUNJAB NATIONAL BANK,NSE_EQ|INE160A01022
RAIL VIKAS NIGAM LIMITED,NSE_EQ|INE415G01027
RBL BANK LIMITED,NSE_EQ|INE976G01028
REC LIMITED,NSE_EQ|INE020B01018
